Consumer,Year,Hour,Mean,Std
B11000600,2013,9,4.836065573770492,2.9954428045997505
B11000600,2013,10,4.737704918032787,2.8513250682461204
B11000600,2013,11,5.278688524590164,3.2717535947408165
B11000600,2013,12,4.918032786885246,2.8183628934023215
B11000600,2013,13,4.967213114754099,2.9095659075696845
B11000600,2013,14,4.819672131147541,2.4597303153077
B11000600,2013,15,4.918032786885246,2.5774346546337705
B11000600,2013,16,4.590163934426229,2.452053895413176
B11000600,2013,17,4.704918032786885,2.609880343969061
B11000600,2013,18,4.983606557377049,2.735518252413904
B11000600,2013,19,4.508196721311475,2.225780393627309
B11000600,2013,20,4.409836065573771,2.2831049704319177
B11000600,2013,21,3.7704918032786887,2.3621560957661174
B11000600,2013,22,2.0655737704918034,1.7211319188159904
B11000600,2013,23,1.3770491803278688,0.9859671128090348
B11000600,2013,24,1.0327868852459017,0.1795562228341584
B11000601,2013,1,79.85245901639344,30.450963895840676
B11000601,2013,2,80.70491803278688,30.603564205440236
B11000601,2013,3,81.55737704918033,30.927616887480966
B11000601,2013,4,81.08196721311475,29.559710802581282
B11000601,2013,5,81.29508196721312,30.333339338256774
B11000601,2013,6,80.09836065573771,30.47769945278722
B11000601,2013,7,69.98360655737704,32.611087993338856
B11000601,2013,8,54.459016393442624,36.48770284652616
B11000601,2013,9,47.73770491803279,38.75603249359781
B11000601,2013,10,91.9672131147541,39.78063482529942
B11000601,2013,11,84.22950819672131,42.564223413027264
B11000601,2013,12,76.1639344262295,43.92462495680103
B11000601,2013,13,80.45901639344262,45.01465456585289
B11000601,2013,14,87.27868852459017,46.06413324469157
B11000601,2013,15,98.18032786885246,43.97177435458695
B11000601,2013,16,110.26229508196721,42.367401635118895
B11000601,2013,17,91.52459016393442,32.8195097248456
B11000601,2013,18,80.0,31.7742033731768
B11000601,2013,19,78.04918032786885,31.626690326109156
B11000601,2013,20,79.1639344262295,32.89233969982922
B11000601,2013,21,79.04918032786885,30.971183504191007
B11000601,2013,22,79.44262295081967,31.55446328184754
B11000601,2013,23,80.11475409836065,31.906686008137196
B11000601,2013,24,80.42622950819673,31.382829177961547
B11000602,2013,1,31.0,6.789698078707183
B11000602,2013,2,26.0,4.0743097574926725
B11000602,2013,3,24.672131147540984,2.953649220176119
B11000602,2013,4,24.34426229508197,2.6887744785908154
B11000602,2013,5,23.885245901639344,2.5501526794536424
B11000602,2013,6,24.131147540983605,2.729318656344263
B11000602,2013,7,24.524590163934427,3.1916900297337207
B11000602,2013,8,27.737704918032787,4.339361087165798
B11000602,2013,9,32.68852459016394,7.2100415708615655
B11000602,2013,10,59.85245901639344,23.408571126529537
