Consumer,Hour,Mean,Std
B11000893,5,11.934426229508198,2.616898755591613
B11000893,6,12.262295081967213,2.9303479306890927
B11000893,7,14.737704918032787,3.5708365155973403
B11000893,8,15.934426229508198,3.396569399729802
B11000893,9,13.819672131147541,2.7610178493869184
B11000893,10,10.19672131147541,2.102455021886085
B11000893,11,8.655737704918034,1.239847239422232
B11000893,12,11.918032786885245,2.002417243882291
B11000893,13,12.721311475409836,2.698701251336775
B11000893,14,13.081967213114755,2.9879269745899744
B11000893,15,12.180327868852459,2.831371079103547
B11000893,16,10.065573770491802,1.6779070927113426
B11000893,17,10.131147540983607,1.5937933905228374
B11000893,18,11.688524590163935,2.1002808836864966
B11000893,19,18.524590163934427,2.9174801465999542
B11000893,20,20.81967213114754,3.699836933585717
B11000893,21,21.557377049180328,4.030720515519199
B11000893,22,21.16393442622951,4.25491163772885
B11000893,23,18.770491803278688,4.362257809982404
B11000893,24,15.37704918032787,3.310014285671859
B11000894,1,31.016393442622952,12.04702779925499
B11000894,2,30.557377049180328,12.059313236792542
B11000894,3,30.78688524590164,12.034260864739556
B11000894,4,32.0,12.107442501801371
B11000894,5,35.68852459016394,11.813497398060639
B11000894,6,44.36065573770492,11.815567373465116
B11000894,7,48.868852459016395,13.828546632305155
B11000894,8,48.24590163934426,14.242231978451626
B11000894,9,55.18032786885246,14.530361877322418
B11000894,10,54.81967213114754,14.792009580631213
B11000894,11,55.59016393442623,13.919413320475838
B11000894,12,54.08196721311475,13.301417503615259
B11000894,13,56.131147540983605,13.135454973912182
B11000894,14,53.721311475409834,13.578105746277034
B11000894,15,54.68852459016394,13.549594372498069
B11000894,16,52.885245901639344,13.084966170901273
B11000894,17,50.42622950819672,12.785056615777554
B11000894,18,49.622950819672134,12.703638222160945
B11000894,19,49.0655737704918,12.203021464682783
B11000894,20,39.967213114754095,11.898432481295977
B11000894,21,35.967213114754095,11.616787193208243
B11000894,22,35.622950819672134,11.90559027588525
B11000894,23,31.540983606557376,11.518443898903628
B11000894,24,30.81967213114754,11.799566811611449
B11000895,1,36.78688524590164,2.0733654759032625
B11000895,2,35.868852459016395,2.243207669914403
B11000895,3,35.721311475409834,2.097079526943919
B11000895,4,35.59016393442623,2.0754383236850438
B11000895,5,47.14754098360656,2.957824109279505
B11000895,6,67.11475409836065,8.498984241440484
B11000895,7,80.27868852459017,14.037573873260484
B11000895,8,86.55737704918033,12.843987673212595
B11000895,9,94.39344262295081,11.684764759831905
B11000895,10,94.9672131147541,8.113876422150287
B11000895,11,94.08196721311475,8.298321145568577
B11000895,12,93.68852459016394,9.648818807529906
B11000895,13,97.88524590163935,12.162962269490132
B11000895,14,98.0327868852459,8.790768654944005
B11000895,15,96.88524590163935,7.633185443934896
B11000895,16,106.42622950819673,9.251422604638764
B11000895,17,104.04918032786885,10.585214292739641
B11000895,18,106.22950819672131,12.370500927640421
B11000895,19,106.77049180327869,10.941563772647692
B11000895,20,97.9672131147541,9.963815210286974
B11000895,21,87.85245901639344,9.007894653268648
B11000895,22,57.47540983606557,4.433873181475926
B11000895,23,39.9344262295082,2.1106199264827645
B11000895,24,40.278688524590166,1.8828923298834401
B11000904,1,112.32786885245902,21.53055115790416
B11000904,2,101.85245901639344,17.839756729920577
B11000904,3,101.78688524590164,17.41124072009405
B11000904,4,99.09836065573771,17.255747360942713
B11000904,5,102.09836065573771,16.929656700626715
B11000904,6,124.1639344262295,23.379394267678727
B11000904,7,153.62295081967213,27.871581351447716
B11000904,8,162.9016393442623,34.00371480093565
B11000904,9,177.2622950819672,34.18843714001652
B11000904,10,170.2622950819672,34.49395368226492
B11000904,11,158.36065573770492,28.412669066886945
B11000904,12,157.13114754098362,27.64439018172069
B11000904,13,161.70491803278688,28.374165265280986
B11000904,14,170.50819672131146,29.723657824250093
B11000904,15,172.72131147540983,29.43741967239243
B11000904,16,170.60655737704917,32.71450206751428
B11000904,17,172.0327868852459,37.6009972021212
B11000904,18,187.2295081967213,44.42506803877663
B11000904,19,201.36065573770492,46.8146091765903
B11000904,20,197.9672131147541,50.53969944610002
B11000904,21,190.59016393442624,54.926889425310975
B11000904,22,173.40983606557376,50.92211251112896
B11000904,23,144.49180327868854,33.39069417373535
B11000904,24,132.45901639344262,26.166286512460843
B11000908,1,50.032786885245905,22.144064233059407
B11000908,2,52.63934426229508,23.765267939279493
B11000908,3,55.65573770491803,25.404843507412505
B11000908,4,58.16393442622951,26.599753682989252
B11000908,5,64.91803278688525,28.309353770161742
B11000908,6,80.9672131147541,31.009235648625058
B11000908,7,87.8360655737705,36.08241037706116
B11000908,8,79.60655737704919,30.31975966021606
B11000908,9,83.36065573770492,28.673991635126765
B11000908,10,81.18032786885246,26.23257154242732
B11000908,11,72.1311475409836,23.696493072373627
B11000908,12,62.540983606557376,22.534908272185106
B11000908,13,62.47540983606557,21.611022200945037
B11000908,14,65.80327868852459,21.429120429101978
B11000908,15,59.622950819672134,19.63700415736244
B11000908,16,58.78688524590164,17.95724864289898
B11000908,17,59.01639344262295,16.806021367529514
B11000908,18,55.32786885245902,15.556055498465055
B11000908,19,54.52459016393443,14.6976150149307
