Consumer,Contract,Hour,Mean,Std
Original1337_B11003494,高圧小口,11,45.19672131147541,10.811074577140639
Original1337_B11003494,高圧小口,12,41.557377049180324,9.882132560323258
Original1337_B11003494,高圧小口,13,36.950819672131146,8.043786380066145
Original1337_B11003494,高圧小口,14,33.80327868852459,5.836065573770492
Original1337_B11003494,高圧小口,15,34.622950819672134,6.847672655790432
Original1337_B11003494,高圧小口,16,34.31147540983606,6.009667030973164
Original1337_B11003494,高圧小口,17,32.278688524590166,6.135441645201395
Original1337_B11003494,高圧小口,18,27.57377049180328,5.385040043973196
Original1337_B11003494,高圧小口,19,18.81967213114754,6.423594307467451
Original1337_B11003494,高圧小口,20,9.245901639344263,3.9073522027361216
Original1337_B11003494,高圧小口,21,7.508196721311475,2.532561399056151
Original1337_B11003494,高圧小口,22,6.934426229508197,1.6973349646616114
Original1337_B11003494,高圧小口,23,7.163934426229508,1.9006498273463956
Original1337_B11003494,高圧小口,24,7.180327868852459,2.02045439396087
Original1338_B11003495,高圧小口,1,29.0,2.9753082220827882
Original1338_B11003495,高圧小口,2,29.81967213114754,2.357465968819351
Original1338_B11003495,高圧小口,3,30.901639344262296,2.06218822210051
Original1338_B11003495,高圧小口,4,28.0,2.1038606199548298
Original1338_B11003495,高圧小口,5,27.868852459016395,1.7968589153960353
Original1338_B11003495,高圧小口,6,26.868852459016395,1.8771744535474935
Original1338_B11003495,高圧小口,7,26.688524590163933,1.9123497142842867
Original1338_B11003495,高圧小口,8,34.80327868852459,2.4682885298512005
Original1338_B11003495,高圧小口,9,45.26229508196721,4.988188144216992
Original1338_B11003495,高圧小口,10,55.65573770491803,5.203672240222313
Original1338_B11003495,高圧小口,11,56.90163934426229,6.585390980171999
Original1338_B11003495,高圧小口,12,53.868852459016395,7.11146709595989
Original1338_B11003495,高圧小口,13,54.78688524590164,7.184032280446938
Original1338_B11003495,高圧小口,14,55.0655737704918,6.7892606914421245
Original1338_B11003495,高圧小口,15,54.704918032786885,5.128973508956393
Original1338_B11003495,高圧小口,16,55.032786885245905,6.092099729856408
Original1338_B11003495,高圧小口,17,53.278688524590166,5.456628237534164
Original1338_B11003495,高圧小口,18,53.295081967213115,4.839537514467381
Original1338_B11003495,高圧小口,19,53.540983606557376,5.177421886728363
Original1338_B11003495,高圧小口,20,59.0,4.797540353412669
Original1338_B11003495,高圧小口,21,59.42622950819672,4.812752923371857
Original1338_B11003495,高圧小口,22,41.08196721311475,2.9325481672128384
Original1338_B11003495,高圧小口,23,37.704918032786885,3.465730411956957
Original1338_B11003495,高圧小口,24,31.311475409836067,2.9058504221010466
Original1339_B11003496,高圧小口,1,60.91803278688525,10.03484924693745
Original1339_B11003496,高圧小口,2,60.34426229508197,10.261954637415897
Original1339_B11003496,高圧小口,3,60.73770491803279,10.149540309939685
Original1339_B11003496,高圧小口,4,59.50819672131148,10.015762905752688
Original1339_B11003496,高圧小口,5,59.40983606557377,9.865284470203763
Original1339_B11003496,高圧小口,6,63.83606557377049,10.539823509065863
Original1339_B11003496,高圧小口,7,94.22950819672131,14.367989743395777
Original1339_B11003496,高圧小口,8,105.19672131147541,13.44426219513414
Original1339_B11003496,高圧小口,9,117.04918032786885,12.326735211218006
Original1339_B11003496,高圧小口,10,112.80327868852459,13.51116074436381
Original1339_B11003496,高圧小口,11,113.32786885245902,16.11100968788512
Original1339_B11003496,高圧小口,12,115.49180327868852,16.07627612742563
Original1339_B11003496,高圧小口,13,111.95081967213115,17.190758315423004
Original1339_B11003496,高圧小口,14,114.50819672131148,18.443198533823303
Original1339_B11003496,高圧小口,15,115.77049180327869,18.498022439827427
Original1339_B11003496,高圧小口,16,116.52459016393442,19.49746226225608
Original1339_B11003496,高圧小口,17,113.37704918032787,21.505747561475495
Original1339_B11003496,高圧小口,18,90.52459016393442,23.204441743668667
Original1339_B11003496,高圧小口,19,79.01639344262296,14.567527106861249
Original1339_B11003496,高圧小口,20,75.37704918032787,11.024806506500603
Original1339_B11003496,高圧小口,21,73.54098360655738,10.68870059193322
Original1339_B11003496,高圧小口,22,68.68852459016394,10.790920566644203
Original1339_B11003496,高圧小口,23,64.70491803278688,10.359670009136364
Original1339_B11003496,高圧小口,24,62.75409836065574,10.443690914841909
Original1340_B11003500,高圧小口,1,18.24590163934426,8.095041464884169
Original1340_B11003500,高圧小口,2,18.934426229508198,8.657165803700114
Original1340_B11003500,高圧小口,3,21.60655737704918,7.7887659506235725
Original1340_B11003500,高圧小口,4,21.360655737704917,8.413558119235033
Original1340_B11003500,高圧小口,5,19.278688524590162,8.606385634508152
Original1340_B11003500,高圧小口,6,16.229508196721312,6.65642409446263
Original1340_B11003500,高圧小口,7,14.934426229508198,5.742761238115383
Original1340_B11003500,高圧小口,8,15.819672131147541,5.695866193633827
Original1340_B11003500,高圧小口,9,42.540983606557376,21.52663144404159
Original1340_B11003500,高圧小口,10,62.22950819672131,35.7176511640416
Original1340_B11003500,高圧小口,11,64.68852459016394,37.70573769600875
Original1340_B11003500,高圧小口,12,62.049180327868854,35.80796972811289
Original1340_B11003500,高圧小口,13,48.16393442622951,25.252287887173388
Original1340_B11003500,高圧小口,14,59.0,36.84393314829547
Original1340_B11003500,高圧小口,15,59.114754098360656,37.4687184766679
Original1340_B11003500,高圧小口,16,56.950819672131146,36.06616243930908
Original1340_B11003500,高圧小口,17,50.868852459016395,31.667056580200843
Original1340_B11003500,高圧小口,18,31.950819672131146,17.952054752031614
Original1340_B11003500,高圧小口,19,18.950819672131146,8.780429485571217
Original1340_B11003500,高圧小口,20,17.950819672131146,7.998824154382178
Original1340_B11003500,高圧小口,21,17.688524590163933,7.816629988719106
Original1340_B11003500,高圧小口,22,17.59016393442623,7.71920544874994
Original1340_B11003500,高圧小口,23,17.491803278688526,7.687807999043238
Original1340_B11003500,高圧小口,24,17.540983606557376,7.854358235706672
Original1341_B11003501,高圧小口,1,17.557377049180328,3.4141681182685084
Original1341_B11003501,高圧小口,2,12.639344262295081,2.710228269892795
Original1341_B11003501,高圧小口,3,12.37704918032787,2.3340946531878934
Original1341_B11003501,高圧小口,4,12.540983606557377,2.519261995055547
Original1341_B11003501,高圧小口,5,12.180327868852459,2.3713328666876703
Original1341_B11003501,高圧小口,6,12.934426229508198,2.2166941303456222
Original1341_B11003501,高圧小口,7,17.278688524590162,2.788331350943643
Original1341_B11003501,高圧小口,8,18.39344262295082,3.685499670394554
Original1341_B11003501,高圧小口,9,32.278688524590166,5.217031212622258
Original1341_B11003501,高圧小口,10,34.9344262295082,6.568351472342968
Original1341_B11003501,高圧小口,11,35.08196721311475,7.168453389603997
Original1341_B11003501,高圧小口,12,32.31147540983606,7.01647004707684
Original1341_B11003501,高圧小口,13,31.016393442622952,7.514994417237085
Original1341_B11003501,高圧小口,14,32.68852459016394,8.976364198082008
Original1341_B11003501,高圧小口,15,32.32786885245902,9.567227721648642
Original1341_B11003501,高圧小口,16,27.540983606557376,10.555976895240251
Original1341_B11003501,高圧小口,17,25.131147540983605,9.511813896475399
Original1341_B11003501,高圧小口,18,23.9672131147541,9.408693596036077
Original1341_B11003501,高圧小口,19,25.081967213114755,7.335731286458204
Original1341_B11003501,高圧小口,20,20.327868852459016,5.1652093143926745
Original1341_B11003501,高圧小口,21,16.42622950819672,5.784260771147637
Original1341_B11003501,高圧小口,22,15.475409836065573,5.221665325014676
Original1341_B11003501,高圧小口,23,14.39344262295082,4.896565167893631
Original1341_B11003501,高圧小口,24,14.80327868852459,4.222576604944875
Original1342_B11003505,高圧小口,1,9.39344262295082,1.8754556912885367
Original1342_B11003505,高圧小口,2,7.39344262295082,0.6598233376228888
Original1342_B11003505,高圧小口,3,7.131147540983607,0.6395544001026608
Original1342_B11003505,高圧小口,4,6.901639344262295,0.5026134333362587
Original1342_B11003505,高圧小口,5,6.819672131147541,0.6403942617909709
Original1342_B11003505,高圧小口,6,6.754098360655738,0.5010067799979058
Original1342_B11003505,高圧小口,7,6.704918032786885,0.5535063283978405
Original1342_B11003505,高圧小口,8,6.622950819672131,0.6315200093199417
Original1342_B11003505,高圧小口,9,6.557377049180328,0.5874253399071776
Original1342_B11003505,高圧小口,10,7.016393442622951,1.09382474213851
Original1342_B11003505,高圧小口,11,13.78688524590164,3.9922661057302586
Original1342_B11003505,高圧小口,12,13.557377049180328,3.796135179423523
Original1342_B11003505,高圧小口,13,14.934426229508198,4.668937648882032
Original1342_B11003505,高圧小口,14,14.672131147540984,5.330768441746615
Original1342_B11003505,高圧小口,15,14.032786885245901,5.2102270587530475
Original1342_B11003505,高圧小口,16,13.098360655737705,4.151653504418102
Original1342_B11003505,高圧小口,17,12.754098360655737,3.87364249179756
Original1342_B11003505,高圧小口,18,14.262295081967213,4.405293534605995
Original1342_B11003505,高圧小口,19,17.262295081967213,6.316519168397251
Original1342_B11003505,高圧小口,20,20.295081967213115,7.980189122815594
Original1342_B11003505,高圧小口,21,21.524590163934427,7.7999717472734424
Original1342_B11003505,高圧小口,22,20.57377049180328,6.862726639677013
Original1342_B11003505,高圧小口,23,17.557377049180328,5.029501784679692
Original1342_B11003505,高圧小口,24,13.229508196721312,3.769565103510608
Original1343_B11003506,高圧小口,1,4.80327868852459,1.0684702122492016
Original1343_B11003506,高圧小口,2,3.9508196721311477,0.493439899780079
Original1343_B11003506,高圧小口,3,3.6065573770491803,0.6598233376228888
Original1343_B11003506,高圧小口,4,3.4754098360655736,1.0017453191771928
Original1343_B11003506,高圧小口,5,3.278688524590164,0.9256127353110232
Original1343_B11003506,高圧小口,6,3.3442622950819674,0.9032772009151416
Original1343_B11003506,高圧小口,7,3.180327868852459,0.49615560493185434
Original1343_B11003506,高圧小口,8,3.4262295081967213,0.49452797144256905
Original1343_B11003506,高圧小口,9,3.540983606557377,0.498317513231825
Original1343_B11003506,高圧小口,10,4.524590163934426,1.033957182375179
Original1343_B11003506,高圧小口,11,8.721311475409836,2.436950173656554
Original1343_B11003506,高圧小口,12,8.655737704918034,3.182355277389556
Original1343_B11003506,高圧小口,13,9.147540983606557,3.8446729830612383
Original1343_B11003506,高圧小口,14,9.737704918032787,3.780457251137848
Original1343_B11003506,高圧小口,15,9.721311475409836,3.959347303144484
Original1343_B11003506,高圧小口,16,9.049180327868852,3.6906005087279286
Original1343_B11003506,高圧小口,17,9.081967213114755,3.1638070134882046
Original1343_B11003506,高圧小口,18,11.573770491803279,3.6550392628396975
Original1343_B11003506,高圧小口,19,15.459016393442623,4.977239245598707
Original1343_B11003506,高圧小口,20,17.688524590163933,4.947398666053782
Original1343_B11003506,高圧小口,21,18.688524590163933,4.506974499000546
Original1343_B11003506,高圧小口,22,17.24590163934426,3.796701492062996
Original1343_B11003506,高圧小口,23,14.672131147540984,3.022979268028722
Original1343_B11003506,高圧小口,24,8.721311475409836,2.4369501736565535
Original1344_B11003507,高圧小口,1,35.24590163934426,4.782672747876024
Original1344_B11003507,高圧小口,2,34.85245901639344,3.453845875294315
Original1344_B11003507,高圧小口,3,33.36065573770492,2.811176679631933
Original1344_B11003507,高圧小口,4,33.90163934426229,3.0337171811988686
Original1344_B11003507,高圧小口,5,32.721311475409834,2.85801230676252
Original1344_B11003507,高圧小口,6,32.557377049180324,2.917019533049886
Original1344_B11003507,高圧小口,7,35.50819672131148,10.32047614675442
Original1344_B11003507,高圧小口,8,46.295081967213115,25.683026392257833
Original1344_B11003507,高圧小口,9,69.1311475409836,43.432433076509135
Original1344_B11003507,高圧小口,10,107.06557377049181,46.39066781946948
Original1344_B11003507,高圧小口,11,131.24590163934425,45.53674637135031
Original1344_B11003507,高圧小口,12,144.34426229508196,45.032551158024056
Original1344_B11003507,高圧小口,13,146.24590163934425,45.14771956105973
Original1344_B11003507,高圧小口,14,147.88524590163934,44.834156461288195
Original1344_B11003507,高圧小口,15,149.31147540983608,45.55182276089025
Original1344_B11003507,高圧小口,16,146.39344262295083,45.45012712151047
Original1344_B11003507,高圧小口,17,144.9672131147541,46.251262176172105
Original1344_B11003507,高圧小口,18,139.18032786885246,46.873918154675216
Original1344_B11003507,高圧小口,19,137.9672131147541,44.55535044064864
Original1344_B11003507,高圧小口,20,129.29508196721312,42.628530530118155
Original1344_B11003507,高圧小口,21,104.93442622950819,37.9498672117848
Original1344_B11003507,高圧小口,22,77.59016393442623,31.616750618070423
Original1344_B11003507,高圧小口,23,54.967213114754095,21.827165517500262
Original1344_B11003507,高圧小口,24,39.36065573770492,10.252601088416773
Original1345_B11003509,高圧小口,1,78.65573770491804,9.814484521512302
Original1345_B11003509,高圧小口,2,67.8360655737705,8.501070960244357
Original1345_B11003509,高圧小口,3,69.08196721311475,8.208941710045517
Original1345_B11003509,高圧小口,4,66.57377049180327,7.291268113395936
Original1345_B11003509,高圧小口,5,69.81967213114754,8.917671159495368
Original1345_B11003509,高圧小口,6,79.95081967213115,8.974328103089839
Original1345_B11003509,高圧小口,7,83.91803278688525,10.912911711899437
Original1345_B11003509,高圧小口,8,88.29508196721312,10.884406446003657
Original1345_B11003509,高圧小口,9,82.73770491803279,10.970753428920574
Original1345_B11003509,高圧小口,10,76.22950819672131,9.466755364705412
Original1345_B11003509,高圧小口,11,74.40983606557377,9.056067704484517
Original1345_B11003509,高圧小口,12,67.90163934426229,8.834924954514024
Original1345_B11003509,高圧小口,13,67.29508196721312,9.875195390961885
Original1345_B11003509,高圧小口,14,68.1311475409836,8.322348757837783
Original1345_B11003509,高圧小口,15,66.18032786885246,7.162077262371172
Original1345_B11003509,高圧小口,16,62.91803278688525,6.281106412839765
Original1345_B11003509,高圧小口,17,63.98360655737705,6.4337527056912736
Original1345_B11003509,高圧小口,18,71.37704918032787,8.174658832658901
Original1345_B11003509,高圧小口,19,75.57377049180327,9.393857456579758
Original1345_B11003509,高圧小口,20,78.80327868852459,9.907473039937418
Original1345_B11003509,高圧小口,21,83.42622950819673,10.979054598723526
Original1345_B11003509,高圧小口,22,88.34426229508196,11.975227498303292
Original1345_B11003509,高圧小口,23,90.27868852459017,11.990612650013142
Original1345_B11003509,高圧小口,24,87.70491803278688,11.475339578239256
Original1346_B11003510,高圧小口,1,4.213114754098361,0.8320378715048867
Original1346_B11003510,高圧小口,2,4.360655737704918,0.9587010830959637
Original1346_B11003510,高圧小口,3,4.344262295081967,0.9388735123459904
Original1346_B11003510,高圧小口,4,4.311475409836065,0.9151007040624829
Original1346_B11003510,高圧小口,5,4.213114754098361,0.6557377049180328
Original1346_B11003510,高圧小口,6,4.147540983606557,0.35464438775055634
Original1346_B11003510,高圧小口,7,4.163934426229508,0.7054896652901642
Original1346_B11003510,高圧小口,8,4.508196721311475,1.0807245720557057
Original1346_B11003510,高圧小口,9,32.77049180327869,11.981397387812779
Original1346_B11003510,高圧小口,10,61.78688524590164,13.35654165764496
Original1346_B11003510,高圧小口,11,90.8360655737705,21.83333316237598
Original1346_B11003510,高圧小口,12,92.08196721311475,19.904933964474047
Original1346_B11003510,高圧小口,13,91.91803278688525,20.94903658488835
Original1346_B11003510,高圧小口,14,92.1311475409836,21.41814414656764
Original1346_B11003510,高圧小口,15,93.27868852459017,21.778415504498703
Original1346_B11003510,高圧小口,16,95.9672131147541,21.385583632794265
Original1346_B11003510,高圧小口,17,96.98360655737704,22.395470709592587
Original1346_B11003510,高圧小口,18,97.59016393442623,22.319863276786375
Original1346_B11003510,高圧小口,19,94.06557377049181,23.85947167489703
Original1346_B11003510,高圧小口,20,76.0327868852459,41.54040782656334
Original1346_B11003510,高圧小口,21,64.54098360655738,47.64092942428356
Original1346_B11003510,高圧小口,22,64.08196721311475,47.9002703993077
Original1346_B11003510,高圧小口,23,22.737704918032787,14.718006858271933
Original1346_B11003510,高圧小口,24,4.262295081967213,0.7872267018716701
Original1347_B11003511,高圧小口,1,22.65573770491803,3.161682711871251
Original1347_B11003511,高圧小口,2,22.0327868852459,3.274177224214613
Original1347_B11003511,高圧小口,3,21.40983606557377,3.225802983934123
Original1347_B11003511,高圧小口,4,24.934426229508198,2.9524585612728464
Original1347_B11003511,高圧小口,5,24.721311475409838,2.7587782253065742
Original1347_B11003511,高圧小口,6,20.360655737704917,3.3340409532884845
Original1347_B11003511,高圧小口,7,19.0327868852459,2.6794127880952443
Original1347_B11003511,高圧小口,8,20.508196721311474,2.3859077443563095
Original1347_B11003511,高圧小口,9,30.491803278688526,3.7487613290638193
Original1347_B11003511,高圧小口,10,32.14754098360656,3.7012893879790387
Original1347_B11003511,高圧小口,11,31.737704918032787,3.780457251137848
Original1347_B11003511,高圧小口,12,32.59016393442623,4.6390256508796055
Original1347_B11003511,高圧小口,13,31.639344262295083,4.0772571416966406
Original1347_B11003511,高圧小口,14,33.967213114754095,4.868659266465744
Original1347_B11003511,高圧小口,15,34.01639344262295,4.713050605408065
Original1347_B11003511,高圧小口,16,34.278688524590166,5.23271909237486
Original1347_B11003511,高圧小口,17,34.131147540983605,4.976915266346775
Original1347_B11003511,高圧小口,18,33.557377049180324,4.604077274151522
Original1347_B11003511,高圧小口,19,32.0655737704918,4.573153492668788
Original1347_B11003511,高圧小口,20,30.65573770491803,4.587528517449717
Original1347_B11003511,高圧小口,21,28.60655737704918,4.513290713701036
Original1347_B11003511,高圧小口,22,27.016393442622952,3.573544886848024
Original1347_B11003511,高圧小口,23,25.147540983606557,3.1144089541301803
Original1347_B11003511,高圧小口,24,23.672131147540984,3.160832591474106
Original1348_B11003514,高圧小口,1,15.163934426229508,1.9092555228250057
Original1348_B11003514,高圧小口,2,14.98360655737705,1.859770859133348
Original1348_B11003514,高圧小口,3,15.360655737704919,1.8019369076603071
Original1348_B11003514,高圧小口,4,17.262295081967213,1.6976516020983108
Original1348_B11003514,高圧小口,5,15.0,1.7082250398835763
Original1348_B11003514,高圧小口,6,14.967213114754099,1.7830459581873743
Original1348_B11003514,高圧小口,7,15.508196721311476,2.551906717677383
Original1348_B11003514,高圧小口,8,16.983606557377048,8.310553833862745
