"ファイル名","所在地","業種","延床面積","建築区分","契約電力"
"G18000417.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000419.csv","関東","製造業","大規模","1棟","高圧小口"
"G18000421.csv","関東","製造業","大規模","1棟","高圧小口"
"G18000423.csv","関東","サービス業（他に分類されないもの）","大規模","1棟","高圧小口"
"G18000426.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000427.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000428.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000429.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"G18000432.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000433.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000434.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000438.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000440.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000441.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000442.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000443.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000449.csv","関東","不動産業，物品賃貸業","大規模","1棟","高圧小口"
"G18000452.csv","関東","製造業","中規模","1棟","高圧小口"
"G18000453.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G18000469.csv","関東","卸売業，小売業","中規模","テナント","高圧小口"
"G18000474.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000476.csv","関東","教育，学習支援業","大規模","1棟","高圧小口"
"G18000479.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000482.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000484.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000489.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000492.csv","関東","不動産業，物品賃貸業","大規模","1棟","高圧小口"
"G18000496.csv","関東","運輸業，郵便業","大規模","1棟","高圧小口"
"G18000498.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000509.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000524.csv","関東","生活関連サービス業，娯楽業","中規模","テナント","高圧小口"
"G18000528.csv","関東","医療，福祉","大規模","1棟","高圧小口"
"G18000529.csv","関東","製造業","大規模","1棟","高圧小口"
"G18000551.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000562.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000588.csv","関東","卸売業，小売業","大規模","1棟","高圧小口"
"G18000605.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"G18000606.csv","関東","卸売業，小売業","大規模","1棟","高圧"
"G18000615.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000617.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000618.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000623.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000625.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000635.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000636.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000638.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000642.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000657.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000661.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000663.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000664.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
"G18000665.csv","関東","卸売業，小売業","中規模","1棟","高圧小口"
